vce;vbe=-0.7;vbe=-0.8;vbe=-0.9;vbe=-1
-0.0;+5.593741E-07;+6.611936E-03;+3.767481E-02;+9.180821E-02
-0.1;-1.387969E-02;-6.922121E-02;-8.924126E-02;-6.277836E-02
-0.2;-1.468108E-02;-9.931327E-02;-1.763754E-01;-1.905269E-01
-0.30000000000000004;-1.462950E-02;-1.065327E-01;-2.260452E-01;-2.872804E-01
-0.4;-1.487213E-02;-1.089389E-01;-2.476251E-01;-3.432097E-01
-0.5;-1.536654E-02;-1.110226E-01;-2.583271E-01;-3.742757E-01
-0.6000000000000001;-1.594812E-02;-1.132711E-01;-2.647269E-01;-3.919657E-01
-0.7000000000000001;-1.669651E-02;-1.157415E-01;-2.698313E-01;-4.043748E-01
-0.8;-1.767336E-02;-1.186846E-01;-2.750896E-01;-4.138380E-01
-0.9;-1.853296E-02;-1.213358E-01;-2.800608E-01;-4.221403E-01
-1.0;-1.941509E-02;-1.240485E-01;-2.842502E-01;-4.286131E-01
